Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2010-12-31,Gamma-ray Spectrometry,Radium-226,,,130,ACI/M3
NAVAJO LAKE,AIR-FILTER,2010-12-31,Gamma-ray Spectrometry,Radium-226,,,66,ACI/M3
