Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2011-03-29,Gross beta in air,Gross Beta,0.0888,0.0052,0.0003,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-28,Gross beta in air,Gross Beta,0.00534,0.00049,0.00076,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-05-19,Gross beta in air,Gross Beta,0.00635,0.00042,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-08-17,Gross beta in air,Gross Beta,0.00684,0.00045,0.00029,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-1,Gross beta in air,Gross Beta,0.00737,0.00047,0.00026,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-8,Gross beta in air,Gross Beta,0.00733,0.0005,0.00044,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-05-13,Gross beta in air,Gross Beta,0.0093,0.00059,0.00027,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-02-5,Gross beta in air,Gross Beta,0.01392,0.00085,0.00026,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-14,Gross beta in air,Gross Beta,0.00702,0.00063,0.0011,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-7,Gross beta in air,Gross Beta,0.00797,0.00069,0.0011,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-2,Gross beta in air,Gross Beta,0.00777,0.00052,0.00036,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-22,Gross beta in air,Gross Beta,0.0317,0.0019,0.00041,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-05-2,Gross beta in air,Gross Beta,0.00734,0.0005,0.00041,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-11,Gross beta in air,Gross Beta,0.00487,0.00044,0.00074,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-1,Gross beta in air,Gross Beta,0.00792,0.00057,0.00049,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-20,Gross beta in air,Gross Beta,0.01179,0.00074,0.00023,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-11-2,Gross beta in air,Gross Beta,0.01076,0.00067,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-6,Gross beta in air,Gross Beta,0.01033,0.00081,0.001,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-06-16,Gross beta in air,Gross Beta,0.00831,0.00054,0.00032,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-07-28,Gross beta in air,Gross Beta,0.00496,0.00035,0.00035,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-02-22,Gross beta in air,Gross Beta,0.00715,0.00052,0.00054,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-20,Gross beta in air,Gross Beta,0.00425,0.00051,0.0012,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-10-26,Gross beta in air,Gross Beta,0.0095,0.0006,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-26,Gross beta in air,Gross Beta,0.00752,0.0005,0.00038,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-12-28,Gross beta in air,Gross Beta,0.0204,0.0012,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-07-22,Gross beta in air,Gross Beta,0.00515,0.00034,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-07-14,Gross beta in air,Gross Beta,0.00922,0.00058,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-12,Gross beta in air,Gross Beta,0.00942,0.00062,0.00044,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-05-5,Gross beta in air,Gross Beta,0.00771,0.00066,0.001,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-15,Gross beta in air,Gross Beta,0.00748,0.00054,0.00054,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-13,Gross beta in air,Gross Beta,0.0102,0.00064,0.0003,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-24,Gross beta in air,Gross Beta,0.01151,0.00084,0.00076,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-11-9,Gross beta in air,Gross Beta,0.00779,0.0005,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-03-17,Gross beta in air,Gross Beta,0.00857,0.00071,0.0011,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-25,Gross beta in air,Gross Beta,0.00623,0.00044,0.00041,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-12-21,Gross beta in air,Gross Beta,0.01403,0.00086,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-08-6,Gross beta in air,Gross Beta,0.00466,0.00031,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-12-14,Gross beta in air,Gross Beta,0.0209,0.0013,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-02-17,Gross beta in air,Gross Beta,0.00933,0.00059,0.00025,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-11-16,Gross beta in air,Gross Beta,0.01201,0.00074,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-10-12,Gross beta in air,Gross Beta,0.00486,0.00032,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-09-9,Gross beta in air,Gross Beta,0.01076,0.00066,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-18,Gross beta in air,Gross Beta,0.00596,0.00043,0.00043,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-08-31,Gross beta in air,Gross Beta,0.00611,0.0004,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-09-23,Gross beta in air,Gross Beta,0.00794,0.00051,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-10-2,Gross beta in air,Gross Beta,0.01082,0.00067,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-06-23,Gross beta in air,Gross Beta,0.00866,0.00059,0.00047,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-10-19,Gross beta in air,Gross Beta,0.00626,0.00041,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-07-1,Gross beta in air,Gross Beta,0.00834,0.00053,0.00019,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-11-25,Gross beta in air,Gross Beta,0.00768,0.00048,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-04-5,Gross beta in air,Gross Beta,0.00866,0.0006,0.00055,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-01-27,Gross beta in air,Gross Beta,0.00663,0.00062,0.0011,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-08-24,Gross beta in air,Gross Beta,0.0063,0.00041,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-06-4,Gross beta in air,Gross Beta,0.00688,0.00045,0.00028,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-05-26,Gross beta in air,Gross Beta,0.00739,0.00049,0.00036,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-02-25,Gross beta in air,Gross Beta,0.00591,0.0005,0.00077,PCI/M3
ALBUQUERQUE,AIR-FILTER,2011-07-7,Gross beta in air,Gross Beta,0.01102,0.00069,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-02-9,Gross beta in air,Gross Beta,0.01184,0.00074,0.0003,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-06-29,Gross beta in air,Gross Beta,0.00712,0.00045,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-06-2,Gross beta in air,Gross Beta,0.00978,0.00062,0.00025,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-08-3,Gross beta in air,Gross Beta,0.00476,0.00032,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-06-14,Gross beta in air,Gross Beta,0.00643,0.00041,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-05-24,Gross beta in air,Gross Beta,0.0091,0.00058,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-05-18,Gross beta in air,Gross Beta,0.00995,0.00063,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-10-19,Gross beta in air,Gross Beta,0.00888,0.00056,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-11-30,Gross beta in air,Gross Beta,0.0188,0.0012,0.00037,PCI/M3
